,epoch,batch_no,agg_loss,global_batch
0,0,1,16.539411544799805,0
1,0,10,13.755097389221191,1
2,0,20,12.663373947143555,2
3,0,30,6.621241092681885,3
4,0,40,5.689798831939697,4
5,0,50,7.793342113494873,5
6,0,60,2.7825183868408203,6
7,0,70,4.154374122619629,7
8,0,80,3.1410224437713623,8
9,0,90,2.5105607509613037,9
10,0,100,1.6650168895721436,10
11,0,110,2.1757891178131104,11
12,0,120,2.14996337890625,12
13,0,130,2.0525565147399902,13
14,0,140,1.935690999031067,14
15,0,150,2.3041677474975586,15
16,0,160,1.5080043077468872,16
17,0,170,2.0246973037719727,17
18,0,180,1.5290812253952026,18
19,0,190,1.6805129051208496,19
20,0,200,1.563481092453003,20
21,0,210,1.6983433961868286,21
22,0,220,1.5669037103652954,22
23,0,230,1.647223711013794,23
24,0,240,1.2746189832687378,24
25,0,250,1.0901949405670166,25
26,0,260,1.5593328475952148,26
27,0,270,1.383366346359253,27
28,0,280,1.1228554248809814,28
29,0,290,1.298209547996521,29
30,0,300,1.313779354095459,30
31,0,310,1.6414625644683838,31
32,0,320,1.0716606378555298,32
33,0,330,1.1247727870941162,33
34,0,340,1.2253601551055908,34
35,0,350,1.2831056118011475,35
36,0,360,1.1664986610412598,36
37,0,370,1.4947657585144043,37
38,0,380,1.2213282585144043,38
39,0,390,1.079792857170105,39
40,0,400,1.1019575595855713,40
41,0,410,1.1050807237625122,41
42,0,420,0.7470073699951172,42
43,0,430,1.787731409072876,43
44,0,440,0.7315753698348999,44
45,0,450,1.3008852005004883,45
46,0,460,0.9835832118988037,46
47,0,470,0.5677244663238525,47
48,0,480,1.0059747695922852,48
49,0,490,1.322305679321289,49
50,0,500,0.9256935715675354,50
51,0,510,0.9182516932487488,51
52,0,520,1.721461296081543,52
53,0,530,1.3957425355911255,53
54,0,540,0.5542333126068115,54
55,0,550,1.2819135189056396,55
56,0,560,1.257581114768982,56
57,0,570,1.2826282978057861,57
58,0,580,0.9305589199066162,58
59,0,590,1.6279118061065674,59
60,0,600,1.430100917816162,60
61,0,610,1.0517048835754395,61
62,0,620,1.112970232963562,62
63,0,630,1.4462065696716309,63
64,0,640,1.0421944856643677,64
65,0,650,1.8794755935668945,65
66,0,660,0.9036304950714111,66
67,0,670,2.1102564334869385,67
68,0,680,1.7881170511245728,68
69,0,690,1.0256671905517578,69
70,0,700,0.853370189666748,70
71,0,710,0.8520705699920654,71
72,0,720,0.9512594938278198,72
73,0,730,0.731637716293335,73
74,0,740,0.6573590040206909,74
75,0,750,3.7668747901916504,75
76,0,760,0.8796377182006836,76
77,0,770,1.0557801723480225,77
78,0,780,0.5601418614387512,78
79,0,790,0.8281677961349487,79
80,0,800,0.6862468719482422,80
81,0,810,0.5322908163070679,81
82,0,820,0.609798789024353,82
83,0,830,0.9464701414108276,83
84,0,840,0.9664028882980347,84
85,0,850,0.9946484565734863,85
86,0,860,1.0401808023452759,86
87,0,870,1.096637487411499,87
88,0,880,0.7511279582977295,88
89,0,890,0.7974883317947388,89
90,0,900,1.226719617843628,90
91,0,910,1.7161601781845093,91
92,0,920,1.6043140888214111,92
93,0,930,1.5321364402770996,93
94,0,940,0.3778824210166931,94
95,0,950,0.8385328054428101,95
96,0,960,0.48849624395370483,96
97,0,970,0.844311535358429,97
98,0,980,0.6488088369369507,98
99,0,990,0.7297410368919373,99
100,0,1000,1.5593523979187012,100
101,0,1010,2.2316951751708984,101
102,0,1020,0.6413619518280029,102
103,0,1030,0.6184650659561157,103
104,0,1040,1.1336023807525635,104
105,0,1050,0.530738115310669,105
106,0,1060,0.5918459296226501,106
107,0,1070,1.064254641532898,107
108,0,1080,1.8891921043395996,108
109,0,1090,2.0852503776550293,109
110,0,1100,1.0884629487991333,110
111,0,1110,0.6479226350784302,111
112,0,1120,0.810646653175354,112
113,0,1125,0.6268242597579956,113
114,1,1,1.4442014694213867,114
115,1,10,1.1843584775924683,115
116,1,20,1.0062930583953857,116
117,1,30,0.6324182748794556,117
118,1,40,1.3472390174865723,118
119,1,50,0.672924280166626,119
120,1,60,0.5546132326126099,120
121,1,70,0.9107701778411865,121
122,1,80,1.4760777950286865,122
123,1,90,0.507414698600769,123
124,1,100,0.9948064088821411,124
125,1,110,0.5729789733886719,125
126,1,120,1.4615216255187988,126
127,1,130,0.3723635673522949,127
128,1,140,0.5472598075866699,128
129,1,150,0.4666063189506531,129
130,1,160,0.3645321726799011,130
131,1,170,1.5147985219955444,131
132,1,180,0.6757387518882751,132
133,1,190,0.8955973982810974,133
134,1,200,1.10017728805542,134
135,1,210,0.5323303937911987,135
136,1,220,0.4009602963924408,136
137,1,230,0.6019790768623352,137
138,1,240,0.7333701848983765,138
139,1,250,1.208883285522461,139
140,1,260,0.36604395508766174,140
141,1,270,0.39692914485931396,141
142,1,280,0.41416797041893005,142
143,1,290,0.8898553252220154,143
144,1,300,1.2777605056762695,144
145,1,310,0.7790120840072632,145
146,1,320,0.22970417141914368,146
147,1,330,0.2957245707511902,147
148,1,340,0.9857006072998047,148
149,1,350,1.5769413709640503,149
150,1,360,0.685511589050293,150
151,1,370,0.28959542512893677,151
152,1,380,1.0571414232254028,152
153,1,390,0.6817790269851685,153
154,1,400,0.43425703048706055,154
155,1,410,1.117506980895996,155
156,1,420,0.6094933152198792,156
157,1,430,0.7460230588912964,157
158,1,440,0.6665703654289246,158
159,1,450,0.897064208984375,159
160,1,460,0.3222271800041199,160
161,1,470,0.642386257648468,161
162,1,480,0.899287223815918,162
163,1,490,0.8528940677642822,163
